difficulty passing urine,3
indifferent mood,3
satiety early,3
emphysematous change,3
non-productive  cough,3
sweating  increased,3
hoarseness,3
unhappy,3
qt interval prolonged,3
urinary hesitation,3
room spinning,3
debilitation,3
ataxia,3
tired,3
pain  chest,3
symptom aggravating factors,3
verbally abusive behavior,3
formication,3
neologism,3
Stahli's line,3
systolic murmur,3
decompensation,3
loose associations,3
burning sensation,3
flatulence,3
moan,3
cyanosis,3
snore,3
green sputum,3
cardiovascular event,3
hepatosplenomegaly,3
monoclonal,3
paresis,3
hematocrit decreased,3
paraparesis,3
heme positive,3
fatigability,3
frail,3
urge incontinence,3
polymyalgia,3
projectile vomiting,3
presence of q wave,3
achalasia,3
stridor,2
pain back,2
hepatomegaly,2
distended  abdomen,2
giddy mood,2
cystic lesion,2
lip smacking,2
paralyse,2
scleral icterus,2
bleeding of vagina,2
posturing,2
disturbed family,2
impaired cognition,2
superimposition,2
clammy skin,2
atypia,2
moody,2
mass in breast,2
hot flush,2
cicatrisation,2
mediastinal shift,2
systolic ejection murmur,2
hypokalemia,2
estrogen use,2
uncoordination,2
distress  respiratory,2
general unsteadiness,2
pulsus paradoxus,2
out of breath,2
hyperacusis,2
pallor,2
extrapyramidal sign,2
ambidexterity,2
hacking cough,2
angina  pectoris,2
stuffy nose,2
numbness  of hand,2
myoclonus,2
sputum purulent,2
awakening early,2
pustule,2
aphagia,2
hunger,2
feeling strange,2
st segment depression,2
unsteady  gait,2
nonsmoker,2
hypotonic,2
hydropneumothorax,2
absences finding,2
chest  tightness,2
hypersomnia,2
hemianopsia homonymous,2
pleuritic  pain,2
ache,2
vision blurred,2
decreased stool caliber,2
para 1,2
behavior hyperactive,2
side pain,2
renal angle tenderness,2
heavy legs,2
dullness,2
productive  cough,2
pressure  chest,2
poor dentition,2
hypocalcemia result,2
slowing of urinary stream,2
hirsutism,2
numbness of hand,2
asymptomatic,2
groggy,2
hypoalbuminemia,2
flushing,2
green  sputum,1
nasal discharge present,1
barking cough,1
night  sweat,1
out  of breath,1
abnormal sensation,1
no status change,1
alcoholic withdrawal symptoms,1
overweight,1
mydriasis,1
nasal flaring,1
proteinemia,1
noisy respiration,1
abnormally  hard consistency,1
hyperhidrosis disorder,1
breath  sounds decreased,1
unable  to concentrate,1
pain foot,1
bruit,1
choke,1
rapid shallow breathing,1
clumsiness,1
abnormally hard consistency,1
dysdiadochokinesia,1
history  of - blackout,1
adverse effect,1
hyperemesis,1
immobile,1
feels hot/feverish,1
retch,1
primigravida,1
panic,1
dyspareunia,1
pneumatouria,1
gasping for breath,1
underweight,1
mood  depressed,1
stinging sensation,1
abdominal bloating,1
pulse absent,1
sneeze,1
urge  incontinence,1
verbal  auditory hallucinations,1
rambling speech,1
feces in rectum,1
energy  increased,1
homicidal thoughts,1
shooting pain,1
tremor resting,1
floppy,1
rhd positive,1
mental  status changes,1
hallucinations  visual,1
regurgitates after swallowing,1
excruciating pain,1
charleyhorse,1
alcohol binge episode,1
speech  slurred,1
macule,1
hyperventilation,1
prostate tender,1
posterior rhinorrhea,1
welt,1
abortion,1
transsexual,1
hypertonicity,1
prodrome,1
air fluid level,1
elation,1
large-for-dates fetus,1
feeling  hopeless,1
facial  paresis,1
general  discomfort,1
sniffle,1
retropulsion,1
red blotches,1
disequilibrium,1
incoherent,1
intermenstrual heavy bleeding,1
jugular  venous distention,1
decreased  translucency,1
hallucinations  auditory,1
abdomen acute,1
feeling  suicidal,1
breakthrough pain,1
fecaluria,1
inappropriate affect,1
drool,1
para 2,1
behavior showing increased motor activity,1
pericardial friction rub,1
hypoproteinemia,1
st segment elevation,1
food  intolerance,1
hypometabolism,1
rest pain,1
dysesthesia,1
hypersomnolence,1
titubation,1
monocytosis,1
gravida 10,1
breath-holding spell,1
bowel sounds decreased,1
sedentary,1
pain neck,1
coordination abnormal,1
no known drug allergies,1
flare,1
motor  retardation,1
dyspnea  on exertion,1
anosmia,1
heavy feeling,1
focal seizures,1
rigor - temperature-associated observation,1
todd paralysis,1
tinnitus,1
unconscious  state,1
low back pain,1
irritable  mood,1
yellow  sputum,1
symptom  aggravating factors,1
hypesthesia,1
bradykinesia,1
hematochezia,1
fear of falling,1
frothy sputum,1
tonic seizures,1
burning  sensation,1
dizzy spells,1
soft tissue swelling,1
rolling of eyes,1
hoard,1
previous pregnancies 2,1
Murphy's sign,1
catching breath,1
pain in lower limb,1
photopsia,1
r wave feature,1
gag,1
passed stones,1
sciatica,1
poor feeding,1
milky,1
phonophobia,1
blanch,1
throbbing sensation quality,1
unwell,1
macerated skin,1
Heberden's node,1
urinoma,1
pansystolic murmur,1
claudication,1
unable to concentrate,1
pin-point pupils,1
exhaustion,1
