Symptom,Disease,Specialist,Disease_Label,Description
 continuous_sneezing  shivering  chills  watering_from_eyes,Allergy,Allergist,4,"An allergy is an immune system response to a foreign substance that's not typically harmful to your body.They can include certain foods, pollen, or pet dander. Your immune system's job is to keep you healthy by fighting harmful pathogens."
 shivering  chills  watering_from_eyes,Allergy,Allergist,4,"An allergy is an immune system response to a foreign substance that's not typically harmful to your body.They can include certain foods, pollen, or pet dander. Your immune system's job is to keep you healthy by fighting harmful pathogens."
 continuous_sneezing  chills  watering_from_eyes,Allergy,Allergist,4,"An allergy is an immune system response to a foreign substance that's not typically harmful to your body.They can include certain foods, pollen, or pet dander. Your immune system's job is to keep you healthy by fighting harmful pathogens."
 continuous_sneezing  shivering  watering_from_eyes,Allergy,Allergist,4,"An allergy is an immune system response to a foreign substance that's not typically harmful to your body.They can include certain foods, pollen, or pet dander. Your immune system's job is to keep you healthy by fighting harmful pathogens."
 continuous_sneezing  shivering  chills,Allergy,Allergist,4,"An allergy is an immune system response to a foreign substance that's not typically harmful to your body.They can include certain foods, pollen, or pet dander. Your immune system's job is to keep you healthy by fighting harmful pathogens."
 shivering  chills  watering_from_eyes,Allergy,Allergist,4,"An allergy is an immune system response to a foreign substance that's not typically harmful to your body.They can include certain foods, pollen, or pet dander. Your immune system's job is to keep you healthy by fighting harmful pathogens."
 continuous_sneezing  chills  watering_from_eyes,Allergy,Allergist,4,"An allergy is an immune system response to a foreign substance that's not typically harmful to your body.They can include certain foods, pollen, or pet dander. Your immune system's job is to keep you healthy by fighting harmful pathogens."
 continuous_sneezing  shivering  watering_from_eyes,Allergy,Allergist,4,"An allergy is an immune system response to a foreign substance that's not typically harmful to your body.They can include certain foods, pollen, or pet dander. Your immune system's job is to keep you healthy by fighting harmful pathogens."
 continuous_sneezing  shivering  chills,Allergy,Allergist,4,"An allergy is an immune system response to a foreign substance that's not typically harmful to your body.They can include certain foods, pollen, or pet dander. Your immune system's job is to keep you healthy by fighting harmful pathogens."
 continuous_sneezing  shivering  chills  watering_from_eyes,Allergy,Allergist,4,"An allergy is an immune system response to a foreign substance that's not typically harmful to your body.They can include certain foods, pollen, or pet dander. Your immune system's job is to keep you healthy by fighting harmful pathogens."
 stomach_pain  acidity  ulcers_on_tongue  vomiting  cough  chest_pain,GERD,Gastroenterologist,16,"Gastroesophageal reflux disease, or GERD, is a digestive disorder that affects the lower esophageal sphincter (LES), the ring of muscle between the esophagus and stomach. Many people, including pregnant women, suffer from heartburn or acid indigestion caused by GERD."
 stomach_pain  ulcers_on_tongue  vomiting  cough  chest_pain,GERD,Gastroenterologist,16,"Gastroesophageal reflux disease, or GERD, is a digestive disorder that affects the lower esophageal sphincter (LES), the ring of muscle between the esophagus and stomach. Many people, including pregnant women, suffer from heartburn or acid indigestion caused by GERD."
 stomach_pain  acidity  vomiting  cough  chest_pain,GERD,Gastroenterologist,16,"Gastroesophageal reflux disease, or GERD, is a digestive disorder that affects the lower esophageal sphincter (LES), the ring of muscle between the esophagus and stomach. Many people, including pregnant women, suffer from heartburn or acid indigestion caused by GERD."
 stomach_pain  acidity  ulcers_on_tongue  cough  chest_pain,GERD,Gastroenterologist,16,"Gastroesophageal reflux disease, or GERD, is a digestive disorder that affects the lower esophageal sphincter (LES), the ring of muscle between the esophagus and stomach. Many people, including pregnant women, suffer from heartburn or acid indigestion caused by GERD."
 stomach_pain  acidity  ulcers_on_tongue  vomiting  chest_pain,GERD,Gastroenterologist,16,"Gastroesophageal reflux disease, or GERD, is a digestive disorder that affects the lower esophageal sphincter (LES), the ring of muscle between the esophagus and stomach. Many people, including pregnant women, suffer from heartburn or acid indigestion caused by GERD."
 stomach_pain  acidity  ulcers_on_tongue  vomiting  cough,GERD,Gastroenterologist,16,"Gastroesophageal reflux disease, or GERD, is a digestive disorder that affects the lower esophageal sphincter (LES), the ring of muscle between the esophagus and stomach. Many people, including pregnant women, suffer from heartburn or acid indigestion caused by GERD."
 acidity  ulcers_on_tongue  vomiting  cough  chest_pain,GERD,Gastroenterologist,16,"Gastroesophageal reflux disease, or GERD, is a digestive disorder that affects the lower esophageal sphincter (LES), the ring of muscle between the esophagus and stomach. Many people, including pregnant women, suffer from heartburn or acid indigestion caused by GERD."
 stomach_pain  ulcers_on_tongue  vomiting  cough  chest_pain,GERD,Gastroenterologist,16,"Gastroesophageal reflux disease, or GERD, is a digestive disorder that affects the lower esophageal sphincter (LES), the ring of muscle between the esophagus and stomach. Many people, including pregnant women, suffer from heartburn or acid indigestion caused by GERD."
 stomach_pain  acidity  vomiting  cough  chest_pain,GERD,Gastroenterologist,16,"Gastroesophageal reflux disease, or GERD, is a digestive disorder that affects the lower esophageal sphincter (LES), the ring of muscle between the esophagus and stomach. Many people, including pregnant women, suffer from heartburn or acid indigestion caused by GERD."
 stomach_pain  acidity  ulcers_on_tongue  cough  chest_pain,GERD,Gastroenterologist,16,"Gastroesophageal reflux disease, or GERD, is a digestive disorder that affects the lower esophageal sphincter (LES), the ring of muscle between the esophagus and stomach. Many people, including pregnant women, suffer from heartburn or acid indigestion caused by GERD."
itching  vomiting  yellowish_skin  nausea  loss_of_appetite  abdominal_pain  yellowing_of_eyes,Chronic cholestasis,Hepatologist,9,"Chronic cholestatic diseases, whether occurring in infancy, childhood or adulthood, are characterized by defective bile acid transport from the liver to the intestine, which is caused by primary damage to the biliary epithelium in most cases"
 vomiting  yellowish_skin  nausea  loss_of_appetite  abdominal_pain  yellowing_of_eyes,Chronic cholestasis,Hepatologist,9,"Chronic cholestatic diseases, whether occurring in infancy, childhood or adulthood, are characterized by defective bile acid transport from the liver to the intestine, which is caused by primary damage to the biliary epithelium in most cases"
itching  yellowish_skin  nausea  loss_of_appetite  abdominal_pain  yellowing_of_eyes,Chronic cholestasis,Hepatologist,9,"Chronic cholestatic diseases, whether occurring in infancy, childhood or adulthood, are characterized by defective bile acid transport from the liver to the intestine, which is caused by primary damage to the biliary epithelium in most cases"
itching  vomiting  nausea  loss_of_appetite  abdominal_pain  yellowing_of_eyes,Chronic cholestasis,Hepatologist,9,"Chronic cholestatic diseases, whether occurring in infancy, childhood or adulthood, are characterized by defective bile acid transport from the liver to the intestine, which is caused by primary damage to the biliary epithelium in most cases"
itching  vomiting  yellowish_skin  loss_of_appetite  abdominal_pain  yellowing_of_eyes,Chronic cholestasis,Hepatologist,9,"Chronic cholestatic diseases, whether occurring in infancy, childhood or adulthood, are characterized by defective bile acid transport from the liver to the intestine, which is caused by primary damage to the biliary epithelium in most cases"
itching  vomiting  yellowish_skin  nausea  abdominal_pain  yellowing_of_eyes,Chronic cholestasis,Hepatologist,9,"Chronic cholestatic diseases, whether occurring in infancy, childhood or adulthood, are characterized by defective bile acid transport from the liver to the intestine, which is caused by primary damage to the biliary epithelium in most cases"
itching  vomiting  yellowish_skin  nausea  loss_of_appetite  yellowing_of_eyes,Chronic cholestasis,Hepatologist,9,"Chronic cholestatic diseases, whether occurring in infancy, childhood or adulthood, are characterized by defective bile acid transport from the liver to the intestine, which is caused by primary damage to the biliary epithelium in most cases"
itching  vomiting  yellowish_skin  nausea  loss_of_appetite  abdominal_pain,Chronic cholestasis,Hepatologist,9,"Chronic cholestatic diseases, whether occurring in infancy, childhood or adulthood, are characterized by defective bile acid transport from the liver to the intestine, which is caused by primary damage to the biliary epithelium in most cases"
itching  vomiting  yellowish_skin  nausea  loss_of_appetite  abdominal_pain  yellowing_of_eyes,Chronic cholestasis,Hepatologist,9,"Chronic cholestatic diseases, whether occurring in infancy, childhood or adulthood, are characterized by defective bile acid transport from the liver to the intestine, which is caused by primary damage to the biliary epithelium in most cases"
itching  vomiting  yellowish_skin  nausea  loss_of_appetite  abdominal_pain  yellowing_of_eyes,Chronic cholestasis,Hepatologist,9,"Chronic cholestatic diseases, whether occurring in infancy, childhood or adulthood, are characterized by defective bile acid transport from the liver to the intestine, which is caused by primary damage to the biliary epithelium in most cases"
itching  skin_rash  stomach_pain  burning_micturition  spotting_ urination,Drug Reaction,,14,An adverse drug reaction (ADR) is an injury caused by taking medication. ADRs may occur following a single dose or prolonged administration of a drug or result from the combination of two or more drugs.
itching  stomach_pain  burning_micturition  spotting_ urination,Drug Reaction,,14,An adverse drug reaction (ADR) is an injury caused by taking medication. ADRs may occur following a single dose or prolonged administration of a drug or result from the combination of two or more drugs.
itching  skin_rash  burning_micturition  spotting_ urination,Drug Reaction,,14,An adverse drug reaction (ADR) is an injury caused by taking medication. ADRs may occur following a single dose or prolonged administration of a drug or result from the combination of two or more drugs.
itching  skin_rash  stomach_pain  spotting_ urination,Drug Reaction,,14,An adverse drug reaction (ADR) is an injury caused by taking medication. ADRs may occur following a single dose or prolonged administration of a drug or result from the combination of two or more drugs.
itching  skin_rash  stomach_pain  burning_micturition,Drug Reaction,,14,An adverse drug reaction (ADR) is an injury caused by taking medication. ADRs may occur following a single dose or prolonged administration of a drug or result from the combination of two or more drugs.
 skin_rash  stomach_pain  burning_micturition  spotting_ urination,Drug Reaction,,14,An adverse drug reaction (ADR) is an injury caused by taking medication. ADRs may occur following a single dose or prolonged administration of a drug or result from the combination of two or more drugs.
itching  stomach_pain  burning_micturition  spotting_ urination,Drug Reaction,,14,An adverse drug reaction (ADR) is an injury caused by taking medication. ADRs may occur following a single dose or prolonged administration of a drug or result from the combination of two or more drugs.
itching  skin_rash  burning_micturition  spotting_ urination,Drug Reaction,,14,An adverse drug reaction (ADR) is an injury caused by taking medication. ADRs may occur following a single dose or prolonged administration of a drug or result from the combination of two or more drugs.
itching  skin_rash  stomach_pain  spotting_ urination,Drug Reaction,,14,An adverse drug reaction (ADR) is an injury caused by taking medication. ADRs may occur following a single dose or prolonged administration of a drug or result from the combination of two or more drugs.
itching  skin_rash  stomach_pain  burning_micturition,Drug Reaction,,14,An adverse drug reaction (ADR) is an injury caused by taking medication. ADRs may occur following a single dose or prolonged administration of a drug or result from the combination of two or more drugs.
 vomiting  loss_of_appetite  abdominal_pain  passage_of_gases  internal_itching,Peptic ulcer diseae,Gastroenterologist,33,"Peptic ulcer disease (PUD) is a break in the inner lining of the stomach, the first part of the small intestine, or sometimes the lower esophagus. An ulcer in the stomach is called a gastric ulcer, while one in the first part of the intestines is a duodenal ulcer."
 vomiting  indigestion  abdominal_pain  passage_of_gases  internal_itching,Peptic ulcer diseae,Gastroenterologist,33,"Peptic ulcer disease (PUD) is a break in the inner lining of the stomach, the first part of the small intestine, or sometimes the lower esophagus. An ulcer in the stomach is called a gastric ulcer, while one in the first part of the intestines is a duodenal ulcer."
 indigestion  loss_of_appetite  abdominal_pain  passage_of_gases  internal_itching,Peptic ulcer diseae,Gastroenterologist,33,"Peptic ulcer disease (PUD) is a break in the inner lining of the stomach, the first part of the small intestine, or sometimes the lower esophagus. An ulcer in the stomach is called a gastric ulcer, while one in the first part of the intestines is a duodenal ulcer."
 vomiting  loss_of_appetite  abdominal_pain  passage_of_gases  internal_itching,Peptic ulcer diseae,Gastroenterologist,33,"Peptic ulcer disease (PUD) is a break in the inner lining of the stomach, the first part of the small intestine, or sometimes the lower esophagus. An ulcer in the stomach is called a gastric ulcer, while one in the first part of the intestines is a duodenal ulcer."
 vomiting  indigestion  abdominal_pain  passage_of_gases  internal_itching,Peptic ulcer diseae,Gastroenterologist,33,"Peptic ulcer disease (PUD) is a break in the inner lining of the stomach, the first part of the small intestine, or sometimes the lower esophagus. An ulcer in the stomach is called a gastric ulcer, while one in the first part of the intestines is a duodenal ulcer."
 vomiting  indigestion  loss_of_appetite  passage_of_gases  internal_itching,Peptic ulcer diseae,Gastroenterologist,33,"Peptic ulcer disease (PUD) is a break in the inner lining of the stomach, the first part of the small intestine, or sometimes the lower esophagus. An ulcer in the stomach is called a gastric ulcer, while one in the first part of the intestines is a duodenal ulcer."
 vomiting  indigestion  loss_of_appetite  abdominal_pain  internal_itching,Peptic ulcer diseae,Gastroenterologist,33,"Peptic ulcer disease (PUD) is a break in the inner lining of the stomach, the first part of the small intestine, or sometimes the lower esophagus. An ulcer in the stomach is called a gastric ulcer, while one in the first part of the intestines is a duodenal ulcer."
 vomiting  indigestion  loss_of_appetite  abdominal_pain  passage_of_gases,Peptic ulcer diseae,Gastroenterologist,33,"Peptic ulcer disease (PUD) is a break in the inner lining of the stomach, the first part of the small intestine, or sometimes the lower esophagus. An ulcer in the stomach is called a gastric ulcer, while one in the first part of the intestines is a duodenal ulcer."
 vomiting  indigestion  loss_of_appetite  abdominal_pain  passage_of_gases  internal_itching,Peptic ulcer diseae,Gastroenterologist,33,"Peptic ulcer disease (PUD) is a break in the inner lining of the stomach, the first part of the small intestine, or sometimes the lower esophagus. An ulcer in the stomach is called a gastric ulcer, while one in the first part of the intestines is a duodenal ulcer."
 vomiting  indigestion  loss_of_appetite  abdominal_pain  passage_of_gases  internal_itching,Peptic ulcer diseae,Gastroenterologist,33,"Peptic ulcer disease (PUD) is a break in the inner lining of the stomach, the first part of the small intestine, or sometimes the lower esophagus. An ulcer in the stomach is called a gastric ulcer, while one in the first part of the intestines is a duodenal ulcer."
 muscle_wasting  patches_in_throat  high_fever  extra_marital_contacts,AIDS,Osteopathic,1,"Acquired immunodeficiency syndrome (AIDS) is a chronic, potentially life-threatening condition caused by the human immunodeficiency virus (HIV). By damaging your immune system, HIV interferes with your body's ability to fight infection and disease."
 patches_in_throat  high_fever  extra_marital_contacts,AIDS,Osteopathic,1,"Acquired immunodeficiency syndrome (AIDS) is a chronic, potentially life-threatening condition caused by the human immunodeficiency virus (HIV). By damaging your immune system, HIV interferes with your body's ability to fight infection and disease."
 muscle_wasting  high_fever  extra_marital_contacts,AIDS,Osteopathic,1,"Acquired immunodeficiency syndrome (AIDS) is a chronic, potentially life-threatening condition caused by the human immunodeficiency virus (HIV). By damaging your immune system, HIV interferes with your body's ability to fight infection and disease."
 muscle_wasting  patches_in_throat  extra_marital_contacts,AIDS,Osteopathic,1,"Acquired immunodeficiency syndrome (AIDS) is a chronic, potentially life-threatening condition caused by the human immunodeficiency virus (HIV). By damaging your immune system, HIV interferes with your body's ability to fight infection and disease."
 muscle_wasting  patches_in_throat  high_fever,AIDS,Osteopathic,1,"Acquired immunodeficiency syndrome (AIDS) is a chronic, potentially life-threatening condition caused by the human immunodeficiency virus (HIV). By damaging your immune system, HIV interferes with your body's ability to fight infection and disease."
 muscle_wasting  patches_in_throat  high_fever  extra_marital_contacts,AIDS,Osteopathic,1,"Acquired immunodeficiency syndrome (AIDS) is a chronic, potentially life-threatening condition caused by the human immunodeficiency virus (HIV). By damaging your immune system, HIV interferes with your body's ability to fight infection and disease."
 muscle_wasting  patches_in_throat  high_fever  extra_marital_contacts,AIDS,Osteopathic,1,"Acquired immunodeficiency syndrome (AIDS) is a chronic, potentially life-threatening condition caused by the human immunodeficiency virus (HIV). By damaging your immune system, HIV interferes with your body's ability to fight infection and disease."
 patches_in_throat  high_fever  extra_marital_contacts,AIDS,Osteopathic,1,"Acquired immunodeficiency syndrome (AIDS) is a chronic, potentially life-threatening condition caused by the human immunodeficiency virus (HIV). By damaging your immune system, HIV interferes with your body's ability to fight infection and disease."
 muscle_wasting  high_fever  extra_marital_contacts,AIDS,Osteopathic,1,"Acquired immunodeficiency syndrome (AIDS) is a chronic, potentially life-threatening condition caused by the human immunodeficiency virus (HIV). By damaging your immune system, HIV interferes with your body's ability to fight infection and disease."
 muscle_wasting  patches_in_throat  high_fever,AIDS,Osteopathic,1,"Acquired immunodeficiency syndrome (AIDS) is a chronic, potentially life-threatening condition caused by the human immunodeficiency virus (HIV). By damaging your immune system, HIV interferes with your body's ability to fight infection and disease."
 fatigue  weight_loss  restlessness  lethargy  irregular_sugar_level  blurred_and_distorted_vision  obesity  excessive_hunger  increased_appetite  polyuria,Diabetes ,Endocrinologist,12,
 fatigue  weight_loss  restlessness  lethargy  irregular_sugar_level  blurred_and_distorted_vision  obesity  excessive_hunger  increased_appetite  polyuria,Diabetes ,Endocrinologist,12,
 weight_loss  restlessness  lethargy  irregular_sugar_level  blurred_and_distorted_vision  obesity  excessive_hunger  increased_appetite  polyuria,Diabetes ,Endocrinologist,12,
 fatigue  restlessness  lethargy  irregular_sugar_level  blurred_and_distorted_vision  obesity  excessive_hunger  increased_appetite  polyuria,Diabetes ,Endocrinologist,12,
 fatigue  weight_loss  lethargy  irregular_sugar_level  blurred_and_distorted_vision  obesity  excessive_hunger  increased_appetite  polyuria,Diabetes ,Endocrinologist,12,
 fatigue  weight_loss  restlessness  irregular_sugar_level  blurred_and_distorted_vision  obesity  excessive_hunger  increased_appetite  polyuria,Diabetes ,Endocrinologist,12,
 fatigue  weight_loss  restlessness  lethargy  blurred_and_distorted_vision  obesity  excessive_hunger  increased_appetite  polyuria,Diabetes ,Endocrinologist,12,
 fatigue  weight_loss  restlessness  lethargy  irregular_sugar_level  obesity  excessive_hunger  increased_appetite  polyuria,Diabetes ,Endocrinologist,12,
 fatigue  weight_loss  restlessness  lethargy  irregular_sugar_level  blurred_and_distorted_vision  excessive_hunger  increased_appetite  polyuria,Diabetes ,Endocrinologist,12,
 fatigue  weight_loss  restlessness  lethargy  irregular_sugar_level  blurred_and_distorted_vision  obesity  increased_appetite  polyuria,Diabetes ,Endocrinologist,12,
 vomiting  sunken_eyes  dehydration  diarrhoea,Gastroenteritis,Gastroenterologist,17,"Gastroenteritis is an inflammation of the digestive tract, particularly the stomach, and large and small intestines. Viral and bacterial gastroenteritis are intestinal infections associated with symptoms of diarrhea , abdominal cramps, nausea , and vomiting ."
 vomiting  sunken_eyes  dehydration  diarrhoea,Gastroenteritis,Gastroenterologist,17,"Gastroenteritis is an inflammation of the digestive tract, particularly the stomach, and large and small intestines. Viral and bacterial gastroenteritis are intestinal infections associated with symptoms of diarrhea , abdominal cramps, nausea , and vomiting ."
 sunken_eyes  dehydration  diarrhoea,Gastroenteritis,Gastroenterologist,17,"Gastroenteritis is an inflammation of the digestive tract, particularly the stomach, and large and small intestines. Viral and bacterial gastroenteritis are intestinal infections associated with symptoms of diarrhea , abdominal cramps, nausea , and vomiting ."
 vomiting  dehydration  diarrhoea,Gastroenteritis,Gastroenterologist,17,"Gastroenteritis is an inflammation of the digestive tract, particularly the stomach, and large and small intestines. Viral and bacterial gastroenteritis are intestinal infections associated with symptoms of diarrhea , abdominal cramps, nausea , and vomiting ."
 vomiting  sunken_eyes  diarrhoea,Gastroenteritis,Gastroenterologist,17,"Gastroenteritis is an inflammation of the digestive tract, particularly the stomach, and large and small intestines. Viral and bacterial gastroenteritis are intestinal infections associated with symptoms of diarrhea , abdominal cramps, nausea , and vomiting ."
 vomiting  sunken_eyes  dehydration,Gastroenteritis,Gastroenterologist,17,"Gastroenteritis is an inflammation of the digestive tract, particularly the stomach, and large and small intestines. Viral and bacterial gastroenteritis are intestinal infections associated with symptoms of diarrhea , abdominal cramps, nausea , and vomiting ."
 vomiting  sunken_eyes  dehydration  diarrhoea,Gastroenteritis,Gastroenterologist,17,"Gastroenteritis is an inflammation of the digestive tract, particularly the stomach, and large and small intestines. Viral and bacterial gastroenteritis are intestinal infections associated with symptoms of diarrhea , abdominal cramps, nausea , and vomiting ."
 sunken_eyes  dehydration  diarrhoea,Gastroenteritis,Gastroenterologist,17,"Gastroenteritis is an inflammation of the digestive tract, particularly the stomach, and large and small intestines. Viral and bacterial gastroenteritis are intestinal infections associated with symptoms of diarrhea , abdominal cramps, nausea , and vomiting ."
 vomiting  dehydration  diarrhoea,Gastroenteritis,Gastroenterologist,17,"Gastroenteritis is an inflammation of the digestive tract, particularly the stomach, and large and small intestines. Viral and bacterial gastroenteritis are intestinal infections associated with symptoms of diarrhea , abdominal cramps, nausea , and vomiting ."
 vomiting  sunken_eyes  diarrhoea,Gastroenteritis,Gastroenterologist,17,"Gastroenteritis is an inflammation of the digestive tract, particularly the stomach, and large and small intestines. Viral and bacterial gastroenteritis are intestinal infections associated with symptoms of diarrhea , abdominal cramps, nausea , and vomiting ."
 fatigue  cough  high_fever  breathlessness  family_history  mucoid_sputum,Bronchial Asthma,Pulmonologist,6,"Bronchial asthma is a medical condition which causes the airway path of the lungs to swell and narrow. Due to this swelling, the air path produces excess mucus making it hard to breathe, which results in coughing, short breath, and wheezing. The disease is chronic and interferes with daily working."
 cough  high_fever  breathlessness  family_history  mucoid_sputum,Bronchial Asthma,Pulmonologist,6,"Bronchial asthma is a medical condition which causes the airway path of the lungs to swell and narrow. Due to this swelling, the air path produces excess mucus making it hard to breathe, which results in coughing, short breath, and wheezing. The disease is chronic and interferes with daily working."
 fatigue  high_fever  breathlessness  family_history  mucoid_sputum,Bronchial Asthma,Pulmonologist,6,"Bronchial asthma is a medical condition which causes the airway path of the lungs to swell and narrow. Due to this swelling, the air path produces excess mucus making it hard to breathe, which results in coughing, short breath, and wheezing. The disease is chronic and interferes with daily working."
 fatigue  cough  breathlessness  family_history  mucoid_sputum,Bronchial Asthma,Pulmonologist,6,"Bronchial asthma is a medical condition which causes the airway path of the lungs to swell and narrow. Due to this swelling, the air path produces excess mucus making it hard to breathe, which results in coughing, short breath, and wheezing. The disease is chronic and interferes with daily working."
 fatigue  cough  high_fever  family_history  mucoid_sputum,Bronchial Asthma,Pulmonologist,6,"Bronchial asthma is a medical condition which causes the airway path of the lungs to swell and narrow. Due to this swelling, the air path produces excess mucus making it hard to breathe, which results in coughing, short breath, and wheezing. The disease is chronic and interferes with daily working."
 fatigue  cough  high_fever  breathlessness  mucoid_sputum,Bronchial Asthma,Pulmonologist,6,"Bronchial asthma is a medical condition which causes the airway path of the lungs to swell and narrow. Due to this swelling, the air path produces excess mucus making it hard to breathe, which results in coughing, short breath, and wheezing. The disease is chronic and interferes with daily working."
 fatigue  cough  high_fever  breathlessness  family_history,Bronchial Asthma,Pulmonologist,6,"Bronchial asthma is a medical condition which causes the airway path of the lungs to swell and narrow. Due to this swelling, the air path produces excess mucus making it hard to breathe, which results in coughing, short breath, and wheezing. The disease is chronic and interferes with daily working."
 fatigue  cough  high_fever  breathlessness  family_history  mucoid_sputum,Bronchial Asthma,Pulmonologist,6,"Bronchial asthma is a medical condition which causes the airway path of the lungs to swell and narrow. Due to this swelling, the air path produces excess mucus making it hard to breathe, which results in coughing, short breath, and wheezing. The disease is chronic and interferes with daily working."
 cough  high_fever  breathlessness  family_history  mucoid_sputum,Bronchial Asthma,Pulmonologist,6,"Bronchial asthma is a medical condition which causes the airway path of the lungs to swell and narrow. Due to this swelling, the air path produces excess mucus making it hard to breathe, which results in coughing, short breath, and wheezing. The disease is chronic and interferes with daily working."
 fatigue  high_fever  breathlessness  family_history  mucoid_sputum,Bronchial Asthma,Pulmonologist,6,"Bronchial asthma is a medical condition which causes the airway path of the lungs to swell and narrow. Due to this swelling, the air path produces excess mucus making it hard to breathe, which results in coughing, short breath, and wheezing. The disease is chronic and interferes with daily working."
 headache  chest_pain  dizziness  loss_of_balance  lack_of_concentration,Hypertension ,Cardiologist,23,
 chest_pain  dizziness  loss_of_balance  lack_of_concentration,Hypertension ,Cardiologist,23,
 headache  dizziness  loss_of_balance  lack_of_concentration,Hypertension ,Cardiologist,23,
 headache  chest_pain  loss_of_balance  lack_of_concentration,Hypertension ,Cardiologist,23,
 headache  chest_pain  dizziness  lack_of_concentration,Hypertension ,Cardiologist,23,
 headache  chest_pain  dizziness  loss_of_balance,Hypertension ,Cardiologist,23,
 headache  chest_pain  dizziness  loss_of_balance  lack_of_concentration,Hypertension ,Cardiologist,23,
 chest_pain  dizziness  loss_of_balance  lack_of_concentration,Hypertension ,Cardiologist,23,
 headache  dizziness  loss_of_balance  lack_of_concentration,Hypertension ,Cardiologist,23,
 headache  chest_pain  loss_of_balance  lack_of_concentration,Hypertension ,Cardiologist,23,
 acidity  indigestion  headache  blurred_and_distorted_vision  excessive_hunger  stiff_neck  depression  irritability  visual_disturbances,Migraine,Neurologist,30,"A migraine can cause severe throbbing pain or a pulsing sensation, usually on one side of the head. It's often accompanied by nausea, vomiting, and extreme sensitivity to light and sound. Migraine attacks can last for hours to days, and the pain can be so severe that it interferes with your daily activities."
 indigestion  headache  blurred_and_distorted_vision  excessive_hunger  stiff_neck  depression  irritability  visual_disturbances,Migraine,Neurologist,30,"A migraine can cause severe throbbing pain or a pulsing sensation, usually on one side of the head. It's often accompanied by nausea, vomiting, and extreme sensitivity to light and sound. Migraine attacks can last for hours to days, and the pain can be so severe that it interferes with your daily activities."
 acidity  headache  blurred_and_distorted_vision  excessive_hunger  stiff_neck  depression  irritability  visual_disturbances,Migraine,Neurologist,30,"A migraine can cause severe throbbing pain or a pulsing sensation, usually on one side of the head. It's often accompanied by nausea, vomiting, and extreme sensitivity to light and sound. Migraine attacks can last for hours to days, and the pain can be so severe that it interferes with your daily activities."
