Disease,Symptom 1,Symptom 2,Symptom 3,Symptom 4,Symptom 5,Symptom 6,Symptom 7,Symptom 8,Symptom 9,Symptom 10,Symptom 11,Symptom 12,Symptom 13,Symptom 14,Symptom 15,Symptom 16,Symptom 17,Symptom 18,Symptom 19,Symptom 20,Symptom 21,Symptom 22,Symptom 23,Symptom 24,Symptom 25,Symptom 26,Symptom 27,Symptom 28
Chronic cholestasis,itching, vomiting, nausea, loss of appetite, abdominal pain, yellowing of eyes,,,,,,,,,,,,,,,,,,,,,,
Chronic cholestasis,itching, vomiting, yellowish skin, loss of appetite, abdominal pain, yellowing of eyes,,,,,,,,,,,,,,,,,,,,,,
Chronic cholestasis,itching, vomiting, yellowish skin, nausea, abdominal pain, yellowing of eyes,,,,,,,,,,,,,,,,,,,,,,
Chronic cholestasis,itching, vomiting, yellowish skin, nausea, loss of appetite, yellowing of eyes,,,,,,,,,,,,,,,,,,,,,,
Chronic cholestasis,itching, vomiting, yellowish skin, nausea, loss of appetite, abdominal pain,,,,,,,,,,,,,,,,,,,,,,
Drug Reaction,itching, skin rash, stomach pain, burning micturition, spotting  urination,,,,,,,,,,,,,,,,,,,,,,,
Drug Reaction,itching, stomach pain, burning micturition, spotting  urination,,,,,,,,,,,,,,,,,,,,,,,,
Drug Reaction,itching, skin rash, burning micturition, spotting  urination,,,,,,,,,,,,,,,,,,,,,,,,
Drug Reaction,itching, skin rash, stomach pain, spotting  urination,,,,,,,,,,,,,,,,,,,,,,,,
Drug Reaction,itching, skin rash, stomach pain, burning micturition,,,,,,,,,,,,,,,,,,,,,,,,
Drug Reaction, skin rash, stomach pain, burning micturition, spotting  urination,,,,,,,,,,,,,,,,,,,,,,,,
Peptic ulcer diseae, vomiting, loss of appetite, abdominal pain, passage of gases, internal itching,,,,,,,,,,,,,,,,,,,,,,,
Peptic ulcer diseae, vomiting, indigestion, abdominal pain, passage of gases, internal itching,,,,,,,,,,,,,,,,,,,,,,,
Peptic ulcer diseae, indigestion, loss of appetite, abdominal pain, passage of gases, internal itching,,,,,,,,,,,,,,,,,,,,,,,
Peptic ulcer diseae, vomiting, indigestion, loss of appetite, passage of gases, internal itching,,,,,,,,,,,,,,,,,,,,,,,
Peptic ulcer diseae, vomiting, indigestion, loss of appetite, abdominal pain, internal itching,,,,,,,,,,,,,,,,,,,,,,,
Peptic ulcer diseae, vomiting, indigestion, loss of appetite, abdominal pain, passage of gases,,,,,,,,,,,,,,,,,,,,,,,
Peptic ulcer diseae, vomiting, indigestion, loss of appetite, abdominal pain, passage of gases, internal itching,,,,,,,,,,,,,,,,,,,,,,
AIDS, muscle wasting, patches in throat, high fever, extra marital contacts,,,,,,,,,,,,,,,,,,,,,,,,
AIDS, patches in throat, high fever, extra marital contacts,,,,,,,,,,,,,,,,,,,,,,,,,
AIDS, muscle wasting, high fever, extra marital contacts,,,,,,,,,,,,,,,,,,,,,,,,,
AIDS, muscle wasting, patches in throat, extra marital contacts,,,,,,,,,,,,,,,,,,,,,,,,,
AIDS, muscle wasting, patches in throat, high fever,,,,,,,,,,,,,,,,,,,,,,,,,
Diabetes , fatigue, weight loss, restlessness, lethargy, irregular sugar level, blurred and distorted vision, obesity, excessive hunger, increased appetite, polyuria,,,,,,,,,,,,,,,,,,
Diabetes , weight loss, restlessness, lethargy, irregular sugar level, blurred and distorted vision, obesity, excessive hunger, increased appetite, polyuria,,,,,,,,,,,,,,,,,,,
Diabetes , fatigue, restlessness, lethargy, irregular sugar level, blurred and distorted vision, obesity, excessive hunger, increased appetite, polyuria,,,,,,,,,,,,,,,,,,,
Diabetes , fatigue, weight loss, lethargy, irregular sugar level, blurred and distorted vision, obesity, excessive hunger, increased appetite, polyuria,,,,,,,,,,,,,,,,,,,
Diabetes , fatigue, weight loss, restlessness, irregular sugar level, blurred and distorted vision, obesity, excessive hunger, increased appetite, polyuria,,,,,,,,,,,,,,,,,,,
Diabetes , fatigue, weight loss, restlessness, lethargy, blurred and distorted vision, obesity, excessive hunger, increased appetite, polyuria,,,,,,,,,,,,,,,,,,,
Diabetes , fatigue, weight loss, restlessness, lethargy, irregular sugar level, obesity, excessive hunger, increased appetite, polyuria,,,,,,,,,,,,,,,,,,,
Diabetes , fatigue, weight loss, restlessness, lethargy, irregular sugar level, blurred and distorted vision, excessive hunger, increased appetite, polyuria,,,,,,,,,,,,,,,,,,,
Diabetes , fatigue, weight loss, restlessness, lethargy, irregular sugar level, blurred and distorted vision, obesity, increased appetite, polyuria,,,,,,,,,,,,,,,,,,,
Gastroenteritis, vomiting, sunken eyes, dehydration, diarrhoea,,,,,,,,,,,,,,,,,,,,,,,,
Gastroenteritis, sunken eyes, dehydration, diarrhoea,,,,,,,,,,,,,,,,,,,,,,,,,
Gastroenteritis, vomiting, dehydration, diarrhoea,,,,,,,,,,,,,,,,,,,,,,,,,
Gastroenteritis, vomiting, sunken eyes, diarrhoea,,,,,,,,,,,,,,,,,,,,,,,,,
Gastroenteritis, vomiting, sunken eyes, dehydration,,,,,,,,,,,,,,,,,,,,,,,,,
Bronchial Asthma, fatigue, cough, high fever, breathlessness, family history, mucoid sputum,,,,,,,,,,,,,,,,,,,,,,
Bronchial Asthma, cough, high fever, breathlessness, family history, mucoid sputum,,,,,,,,,,,,,,,,,,,,,,,
Bronchial Asthma, fatigue, high fever, breathlessness, family history, mucoid sputum,,,,,,,,,,,,,,,,,,,,,,,
Bronchial Asthma, fatigue, cough, breathlessness, family history, mucoid sputum,,,,,,,,,,,,,,,,,,,,,,,
Bronchial Asthma, fatigue, cough, high fever, family history, mucoid sputum,,,,,,,,,,,,,,,,,,,,,,,
Bronchial Asthma, fatigue, cough, high fever, breathlessness, mucoid sputum,,,,,,,,,,,,,,,,,,,,,,,
Bronchial Asthma, fatigue, cough, high fever, breathlessness, family history,,,,,,,,,,,,,,,,,,,,,,,
Hypertension , headache, chest pain, dizziness, loss of balance, lack of concentration,,,,,,,,,,,,,,,,,,,,,,,
Hypertension , chest pain, dizziness, loss of balance, lack of concentration,,,,,,,,,,,,,,,,,,,,,,,,
Hypertension , headache, dizziness, loss of balance, lack of concentration,,,,,,,,,,,,,,,,,,,,,,,,
Hypertension , headache, chest pain, loss of balance, lack of concentration,,,,,,,,,,,,,,,,,,,,,,,,
Hypertension , headache, chest pain, dizziness, lack of concentration,,,,,,,,,,,,,,,,,,,,,,,,
Hypertension , headache, chest pain, dizziness, loss of balance,,,,,,,,,,,,,,,,,,,,,,,,
Migraine, acidity, indigestion, headache, blurred and distorted vision, excessive hunger, stiff neck, depression, irritability, visual disturbances,,,,,,,,,,,,,,,,,,,
Migraine, indigestion, headache, blurred and distorted vision, excessive hunger, stiff neck, depression, irritability, visual disturbances,,,,,,,,,,,,,,,,,,,,
Migraine, acidity, headache, blurred and distorted vision, excessive hunger, stiff neck, depression, irritability, visual disturbances,,,,,,,,,,,,,,,,,,,,
Migraine, acidity, indigestion, blurred and distorted vision, excessive hunger, stiff neck, depression, irritability, visual disturbances,,,,,,,,,,,,,,,,,,,,
Migraine, acidity, indigestion, headache, excessive hunger, stiff neck, depression, irritability, visual disturbances,,,,,,,,,,,,,,,,,,,,
Migraine, acidity, indigestion, headache, blurred and distorted vision, stiff neck, depression, irritability, visual disturbances,,,,,,,,,,,,,,,,,,,,
Migraine, acidity, indigestion, headache, blurred and distorted vision, excessive hunger, depression, irritability, visual disturbances,,,,,,,,,,,,,,,,,,,,
Migraine, acidity, indigestion, headache, blurred and distorted vision, excessive hunger, stiff neck, irritability, visual disturbances,,,,,,,,,,,,,,,,,,,,
Migraine, acidity, indigestion, headache, blurred and distorted vision, excessive hunger, stiff neck, depression, visual disturbances,,,,,,,,,,,,,,,,,,,,
Migraine, acidity, indigestion, headache, blurred and distorted vision, excessive hunger, stiff neck, depression, irritability,,,,,,,,,,,,,,,,,,,,
Cervical spondylosis, back pain, weakness in limbs, neck pain, dizziness, loss of balance,,,,,,,,,,,,,,,,,,,,,,,
Cervical spondylosis, weakness in limbs, neck pain, dizziness, loss of balance,,,,,,,,,,,,,,,,,,,,,,,,
Cervical spondylosis, back pain, neck pain, dizziness, loss of balance,,,,,,,,,,,,,,,,,,,,,,,,
Cervical spondylosis, back pain, weakness in limbs, dizziness, loss of balance,,,,,,,,,,,,,,,,,,,,,,,,
Cervical spondylosis, back pain, weakness in limbs, neck pain, loss of balance,,,,,,,,,,,,,,,,,,,,,,,,
Cervical spondylosis, back pain, weakness in limbs, neck pain, dizziness,,,,,,,,,,,,,,,,,,,,,,,,
Paralysis (brain hemorrhage), vomiting, headache, weakness of one body side, altered sensorium,,,,,,,,,,,,,,,,,,,,,,,,
Paralysis (brain hemorrhage), headache, weakness of one body side, altered sensorium,,,,,,,,,,,,,,,,,,,,,,,,,
Paralysis (brain hemorrhage), vomiting, weakness of one body side, altered sensorium,,,,,,,,,,,,,,,,,,,,,,,,,
Paralysis (brain hemorrhage), vomiting, headache, altered sensorium,,,,,,,,,,,,,,,,,,,,,,,,,
Paralysis (brain hemorrhage), vomiting, headache, weakness of one body side,,,,,,,,,,,,,,,,,,,,,,,,,
Jaundice,itching, vomiting, fatigue, weight loss, high fever, yellowish skin, dark urine, abdominal pain,,,,,,,,,,,,,,,,,,,,
Jaundice, vomiting, fatigue, weight loss, high fever, yellowish skin, dark urine, abdominal pain,,,,,,,,,,,,,,,,,,,,,
Jaundice,itching, fatigue, weight loss, high fever, yellowish skin, dark urine, abdominal pain,,,,,,,,,,,,,,,,,,,,,
Jaundice,itching, vomiting, weight loss, high fever, yellowish skin, dark urine, abdominal pain,,,,,,,,,,,,,,,,,,,,,
Jaundice,itching, vomiting, fatigue, high fever, yellowish skin, dark urine, abdominal pain,,,,,,,,,,,,,,,,,,,,,
Jaundice,itching, vomiting, fatigue, weight loss, yellowish skin, dark urine, abdominal pain,,,,,,,,,,,,,,,,,,,,,
Jaundice,itching, vomiting, fatigue, weight loss, high fever, dark urine, abdominal pain,,,,,,,,,,,,,,,,,,,,,
Jaundice,itching, vomiting, fatigue, weight loss, high fever, yellowish skin, abdominal pain,,,,,,,,,,,,,,,,,,,,,
Jaundice,itching, vomiting, fatigue, weight loss, high fever, yellowish skin, dark urine,,,,,,,,,,,,,,,,,,,,,
Malaria, chills, vomiting, high fever, sweating, headache, nausea, muscle pain,,,,,,,,,,,,,,,,,,,,,
Malaria, chills, vomiting, high fever, sweating, headache, nausea, diarrhoea, muscle pain,,,,,,,,,,,,,,,,,,,,
Malaria, vomiting, high fever, sweating, headache, nausea, diarrhoea, muscle pain,,,,,,,,,,,,,,,,,,,,,
Malaria, chills, high fever, sweating, headache, nausea, diarrhoea, muscle pain,,,,,,,,,,,,,,,,,,,,,
Malaria, chills, vomiting, sweating, headache, nausea, diarrhoea, muscle pain,,,,,,,,,,,,,,,,,,,,,
Malaria, chills, vomiting, high fever, headache, nausea, diarrhoea, muscle pain,,,,,,,,,,,,,,,,,,,,,
Malaria, chills, vomiting, high fever, sweating, nausea, diarrhoea, muscle pain,,,,,,,,,,,,,,,,,,,,,
Malaria, chills, vomiting, high fever, sweating, headache, diarrhoea, muscle pain,,,,,,,,,,,,,,,,,,,,,
Chicken pox,itching, skin rash, fatigue, lethargy, high fever, headache, loss of appetite, mild fever, swelled lymph nodes, malaise, red spots over body,,,,,,,,,,,,,,,,,
Chicken pox, skin rash, fatigue, lethargy, high fever, headache, loss of appetite, mild fever, swelled lymph nodes, malaise, red spots over body,,,,,,,,,,,,,,,,,,
Chicken pox,itching, fatigue, lethargy, high fever, headache, loss of appetite, mild fever, swelled lymph nodes, malaise, red spots over body,,,,,,,,,,,,,,,,,,
Chicken pox,itching, skin rash, lethargy, high fever, headache, loss of appetite, mild fever, swelled lymph nodes, malaise, red spots over body,,,,,,,,,,,,,,,,,,
Chicken pox,itching, skin rash, fatigue, high fever, headache, loss of appetite, mild fever, swelled lymph nodes, malaise, red spots over body,,,,,,,,,,,,,,,,,,
Chicken pox,itching, skin rash, fatigue, lethargy, headache, loss of appetite, mild fever, swelled lymph nodes, malaise, red spots over body,,,,,,,,,,,,,,,,,,
Chicken pox,itching, skin rash, fatigue, lethargy, high fever, loss of appetite, mild fever, swelled lymph nodes, malaise, red spots over body,,,,,,,,,,,,,,,,,,
Chicken pox,itching, skin rash, fatigue, lethargy, high fever, headache, mild fever, swelled lymph nodes, malaise, red spots over body,,,,,,,,,,,,,,,,,,
Chicken pox,itching, skin rash, fatigue, lethargy, high fever, headache, loss of appetite, swelled lymph nodes, malaise, red spots over body,,,,,,,,,,,,,,,,,,
Chicken pox,itching, skin rash, fatigue, lethargy, high fever, headache, loss of appetite, mild fever, malaise, red spots over body,,,,,,,,,,,,,,,,,,
Dengue, skin rash, chills, joint pain, vomiting, fatigue, high fever, headache, nausea, loss of appetite, pain behind the eyes, back pain, muscle pain, red spots over body,,,,,,,,,,,,,,,
Dengue, skin rash, chills, joint pain, vomiting, fatigue, high fever, headache, nausea, loss of appetite, pain behind the eyes, back pain, malaise, red spots over body,,,,,,,,,,,,,,,
Dengue, skin rash, chills, joint pain, vomiting, fatigue, high fever, headache, nausea, loss of appetite, pain behind the eyes, back pain, malaise, muscle pain,,,,,,,,,,,,,,,
Dengue, skin rash, chills, joint pain, vomiting, fatigue, high fever, headache, nausea, loss of appetite, pain behind the eyes, back pain, malaise, muscle pain, red spots over body,,,,,,,,,,,,,,
Dengue, chills, joint pain, vomiting, fatigue, high fever, headache, nausea, loss of appetite, pain behind the eyes, back pain, malaise, muscle pain, red spots over body,,,,,,,,,,,,,,,
Dengue, skin rash, joint pain, vomiting, fatigue, high fever, headache, nausea, loss of appetite, pain behind the eyes, back pain, malaise, muscle pain, red spots over body,,,,,,,,,,,,,,,
Dengue, skin rash, chills, vomiting, fatigue, high fever, headache, nausea, loss of appetite, pain behind the eyes, back pain, malaise, muscle pain, red spots over body,,,,,,,,,,,,,,,
Dengue, skin rash, chills, joint pain, fatigue, high fever, headache, nausea, loss of appetite, pain behind the eyes, back pain, malaise, muscle pain, red spots over body,,,,,,,,,,,,,,,
Dengue, skin rash, chills, joint pain, vomiting, high fever, headache, nausea, loss of appetite, pain behind the eyes, back pain, malaise, muscle pain, red spots over body,,,,,,,,,,,,,,,
Dengue, skin rash, chills, joint pain, vomiting, fatigue, headache, nausea, loss of appetite, pain behind the eyes, back pain, malaise, muscle pain, red spots over body,,,,,,,,,,,,,,,
Typhoid, chills, vomiting, fatigue, high fever, nausea, constipation, abdominal pain, diarrhoea, toxic look (typhos), belly pain,,,,,,,,,,,,,,,,,,
Typhoid, chills, vomiting, fatigue, high fever, headache, constipation, abdominal pain, diarrhoea, toxic look (typhos), belly pain,,,,,,,,,,,,,,,,,,
Typhoid, chills, vomiting, fatigue, high fever, headache, nausea, abdominal pain, diarrhoea, toxic look (typhos), belly pain,,,,,,,,,,,,,,,,,,
Typhoid, chills, vomiting, fatigue, high fever, headache, nausea, constipation, diarrhoea, toxic look (typhos), belly pain,,,,,,,,,,,,,,,,,,
Typhoid, chills, vomiting, fatigue, high fever, headache, nausea, constipation, abdominal pain, toxic look (typhos), belly pain,,,,,,,,,,,,,,,,,,
Typhoid, chills, vomiting, fatigue, high fever, headache, nausea, constipation, abdominal pain, diarrhoea, belly pain,,,,,,,,,,,,,,,,,,
Typhoid, chills, vomiting, fatigue, high fever, headache, nausea, constipation, abdominal pain, diarrhoea, toxic look (typhos),,,,,,,,,,,,,,,,,,
Typhoid, chills, vomiting, fatigue, high fever, headache, nausea, constipation, abdominal pain, diarrhoea, toxic look (typhos), belly pain,,,,,,,,,,,,,,,,,
Typhoid, chills, fatigue, high fever, headache, nausea, constipation, abdominal pain, diarrhoea, toxic look (typhos), belly pain,,,,,,,,,,,,,,,,,,
hepatitis A, joint pain, vomiting, yellowish skin, dark urine, nausea, loss of appetite, abdominal pain, diarrhoea, mild fever, yellowing of eyes, muscle pain,,,,,,,,,,,,,,,,,
hepatitis A, vomiting, yellowish skin, dark urine, nausea, loss of appetite, abdominal pain, diarrhoea, mild fever, yellowing of eyes, muscle pain,,,,,,,,,,,,,,,,,,
hepatitis A, joint pain, yellowish skin, dark urine, nausea, loss of appetite, abdominal pain, diarrhoea, mild fever, yellowing of eyes, muscle pain,,,,,,,,,,,,,,,,,,
hepatitis A, joint pain, vomiting, dark urine, nausea, loss of appetite, abdominal pain, diarrhoea, mild fever, yellowing of eyes, muscle pain,,,,,,,,,,,,,,,,,,
hepatitis A, joint pain, vomiting, yellowish skin, nausea, loss of appetite, abdominal pain, diarrhoea, mild fever, yellowing of eyes, muscle pain,,,,,,,,,,,,,,,,,,
hepatitis A, joint pain, vomiting, yellowish skin, dark urine, loss of appetite, abdominal pain, diarrhoea, mild fever, yellowing of eyes, muscle pain,,,,,,,,,,,,,,,,,,
hepatitis A, joint pain, vomiting, yellowish skin, dark urine, nausea, abdominal pain, diarrhoea, mild fever, yellowing of eyes, muscle pain,,,,,,,,,,,,,,,,,,
hepatitis A, joint pain, vomiting, yellowish skin, dark urine, nausea, loss of appetite, diarrhoea, mild fever, yellowing of eyes, muscle pain,,,,,,,,,,,,,,,,,,
hepatitis A, joint pain, vomiting, yellowish skin, dark urine, nausea, loss of appetite, abdominal pain, mild fever, yellowing of eyes, muscle pain,,,,,,,,,,,,,,,,,,
Hepatitis B,itching, fatigue, lethargy, yellowish skin, dark urine, loss of appetite, abdominal pain, yellow urine, yellowing of eyes, malaise, receiving blood transfusion, receiving unsterile injections,,,,,,,,,,,,,,,,
Hepatitis B, fatigue, lethargy, yellowish skin, dark urine, loss of appetite, abdominal pain, yellow urine, yellowing of eyes, malaise, receiving blood transfusion, receiving unsterile injections,,,,,,,,,,,,,,,,,
Hepatitis B,itching, lethargy, yellowish skin, dark urine, loss of appetite, abdominal pain, yellow urine, yellowing of eyes, malaise, receiving blood transfusion, receiving unsterile injections,,,,,,,,,,,,,,,,,
Hepatitis B,itching, fatigue, yellowish skin, dark urine, loss of appetite, abdominal pain, yellow urine, yellowing of eyes, malaise, receiving blood transfusion, receiving unsterile injections,,,,,,,,,,,,,,,,,
Hepatitis B,itching, fatigue, lethargy, dark urine, loss of appetite, abdominal pain, yellow urine, yellowing of eyes, malaise, receiving blood transfusion, receiving unsterile injections,,,,,,,,,,,,,,,,,
Hepatitis B,itching, fatigue, lethargy, yellowish skin, loss of appetite, abdominal pain, yellow urine, yellowing of eyes, malaise, receiving blood transfusion, receiving unsterile injections,,,,,,,,,,,,,,,,,
Hepatitis B,itching, fatigue, lethargy, yellowish skin, dark urine, abdominal pain, yellow urine, yellowing of eyes, malaise, receiving blood transfusion, receiving unsterile injections,,,,,,,,,,,,,,,,,
Hepatitis B,itching, fatigue, lethargy, yellowish skin, dark urine, loss of appetite, yellow urine, yellowing of eyes, malaise, receiving blood transfusion, receiving unsterile injections,,,,,,,,,,,,,,,,,
Hepatitis B,itching, fatigue, lethargy, yellowish skin, dark urine, loss of appetite, abdominal pain, yellowing of eyes, malaise, receiving blood transfusion, receiving unsterile injections,,,,,,,,,,,,,,,,,
Hepatitis C, fatigue, yellowish skin, nausea, loss of appetite, family history,,,,,,,,,,,,,,,,,,,,,,,
Hepatitis C, fatigue, yellowish skin, nausea, loss of appetite, yellowing of eyes, family history,,,,,,,,,,,,,,,,,,,,,,
Hepatitis C, yellowish skin, nausea, loss of appetite, yellowing of eyes, family history,,,,,,,,,,,,,,,,,,,,,,,
Hepatitis C, fatigue, nausea, loss of appetite, yellowing of eyes, family history,,,,,,,,,,,,,,,,,,,,,,,
Hepatitis C, fatigue, yellowish skin, loss of appetite, yellowing of eyes, family history,,,,,,,,,,,,,,,,,,,,,,,
Hepatitis C, fatigue, yellowish skin, nausea, yellowing of eyes, family history,,,,,,,,,,,,,,,,,,,,,,,
Hepatitis C, fatigue, yellowish skin, nausea, loss of appetite, yellowing of eyes,,,,,,,,,,,,,,,,,,,,,,,
Hepatitis D, joint pain, vomiting, fatigue, yellowish skin, dark urine, nausea, loss of appetite, abdominal pain, yellowing of eyes,,,,,,,,,,,,,,,,,,,
Hepatitis D, vomiting, fatigue, yellowish skin, dark urine, nausea, loss of appetite, abdominal pain, yellowing of eyes,,,,,,,,,,,,,,,,,,,,
Hepatitis D, joint pain, fatigue, yellowish skin, dark urine, nausea, loss of appetite, abdominal pain, yellowing of eyes,,,,,,,,,,,,,,,,,,,,
Hepatitis D, joint pain, vomiting, yellowish skin, dark urine, nausea, loss of appetite, abdominal pain, yellowing of eyes,,,,,,,,,,,,,,,,,,,,
Hepatitis D, joint pain, vomiting, fatigue, dark urine, nausea, loss of appetite, abdominal pain, yellowing of eyes,,,,,,,,,,,,,,,,,,,,
Hepatitis D, joint pain, vomiting, fatigue, yellowish skin, nausea, loss of appetite, abdominal pain, yellowing of eyes,,,,,,,,,,,,,,,,,,,,
Hepatitis D, joint pain, vomiting, fatigue, yellowish skin, dark urine, loss of appetite, abdominal pain, yellowing of eyes,,,,,,,,,,,,,,,,,,,,
Hepatitis D, joint pain, vomiting, fatigue, yellowish skin, dark urine, nausea, abdominal pain, yellowing of eyes,,,,,,,,,,,,,,,,,,,,
Hepatitis D, joint pain, vomiting, fatigue, yellowish skin, dark urine, nausea, loss of appetite, yellowing of eyes,,,,,,,,,,,,,,,,,,,,
Hepatitis D, joint pain, vomiting, fatigue, yellowish skin, dark urine, nausea, loss of appetite, abdominal pain,,,,,,,,,,,,,,,,,,,,
Hepatitis E, joint pain, vomiting, fatigue, high fever, yellowish skin, dark urine, nausea, loss of appetite, abdominal pain, yellowing of eyes, coma, stomach bleeding,,,,,,,,,,,,,,,,
Hepatitis E, joint pain, vomiting, fatigue, high fever, yellowish skin, dark urine, nausea, loss of appetite, abdominal pain, yellowing of eyes, acute liver failure, coma, stomach bleeding,,,,,,,,,,,,,,,
Hepatitis E, vomiting, fatigue, high fever, yellowish skin, dark urine, nausea, loss of appetite, abdominal pain, yellowing of eyes, acute liver failure, coma, stomach bleeding,,,,,,,,,,,,,,,,
Hepatitis E, joint pain, fatigue, high fever, yellowish skin, dark urine, nausea, loss of appetite, abdominal pain, yellowing of eyes, acute liver failure, coma, stomach bleeding,,,,,,,,,,,,,,,,
Hepatitis E, joint pain, vomiting, high fever, yellowish skin, dark urine, nausea, loss of appetite, abdominal pain, yellowing of eyes, acute liver failure, coma, stomach bleeding,,,,,,,,,,,,,,,,
Hepatitis E, joint pain, vomiting, fatigue, yellowish skin, dark urine, nausea, loss of appetite, abdominal pain, yellowing of eyes, acute liver failure, coma, stomach bleeding,,,,,,,,,,,,,,,,
Hepatitis E, joint pain, vomiting, fatigue, high fever, dark urine, nausea, loss of appetite, abdominal pain, yellowing of eyes, acute liver failure, coma, stomach bleeding,,,,,,,,,,,,,,,,
Hepatitis E, joint pain, vomiting, fatigue, high fever, yellowish skin, nausea, loss of appetite, abdominal pain, yellowing of eyes, acute liver failure, coma, stomach bleeding,,,,,,,,,,,,,,,,
Hepatitis E, joint pain, vomiting, fatigue, high fever, yellowish skin, dark urine, loss of appetite, abdominal pain, yellowing of eyes, acute liver failure, coma, stomach bleeding,,,,,,,,,,,,,,,,
Alcoholic hepatitis, vomiting, yellowish skin, abdominal pain, swelling of stomach, distention of abdomen, history of alcohol consumption, fluid overload,,,,,,,,,,,,,,,,,,,,,
Alcoholic hepatitis, yellowish skin, abdominal pain, swelling of stomach, distention of abdomen, history of alcohol consumption, fluid overload,,,,,,,,,,,,,,,,,,,,,,
Alcoholic hepatitis, vomiting, abdominal pain, swelling of stomach, distention of abdomen, history of alcohol consumption, fluid overload,,,,,,,,,,,,,,,,,,,,,,
Alcoholic hepatitis, vomiting, yellowish skin, swelling of stomach, distention of abdomen, history of alcohol consumption, fluid overload,,,,,,,,,,,,,,,,,,,,,,
Alcoholic hepatitis, vomiting, yellowish skin, abdominal pain, distention of abdomen, history of alcohol consumption, fluid overload,,,,,,,,,,,,,,,,,,,,,,
Alcoholic hepatitis, vomiting, yellowish skin, abdominal pain, swelling of stomach, history of alcohol consumption, fluid overload,,,,,,,,,,,,,,,,,,,,,,
Alcoholic hepatitis, vomiting, yellowish skin, abdominal pain, swelling of stomach, distention of abdomen, fluid overload,,,,,,,,,,,,,,,,,,,,,,
Alcoholic hepatitis, vomiting, yellowish skin, abdominal pain, swelling of stomach, distention of abdomen, history of alcohol consumption,,,,,,,,,,,,,,,,,,,,,,
Tuberculosis, chills, vomiting, fatigue, weight loss, cough, high fever, breathlessness, sweating, loss of appetite, mild fever, yellowing of eyes, swelled lymph nodes, malaise, phlegm, chest pain, blood in sputum,,,,,,,,,,,,
Tuberculosis, vomiting, fatigue, weight loss, cough, high fever, breathlessness, sweating, loss of appetite, mild fever, yellowing of eyes, swelled lymph nodes, malaise, phlegm, chest pain, blood in sputum,,,,,,,,,,,,,
Tuberculosis, chills, fatigue, weight loss, cough, high fever, breathlessness, sweating, loss of appetite, mild fever, yellowing of eyes, swelled lymph nodes, malaise, phlegm, chest pain, blood in sputum,,,,,,,,,,,,,
Tuberculosis, chills, vomiting, weight loss, cough, high fever, breathlessness, sweating, loss of appetite, mild fever, yellowing of eyes, swelled lymph nodes, malaise, phlegm, chest pain, blood in sputum,,,,,,,,,,,,,
