jugular venous distention,6
dysarthria,6
shortness  of breath,6
 knee pain,6
knee pain,6
 skin peeling,6
skin peeling,6
 silver like dusting,6
numbness,6
 ulcers on tongue,6
decreased translucency,6
gurgle,5
throat sore,5
distended abdomen,5
 movement stiffness,5
pain during bowel movements,5
catatonia,5
bloody stool,5
cushingoid habitus,5
 bloody stool,5
movement stiffness,5
oliguria,5
 yellow crust ooze,5
red sore around nose,5
breath sounds decreased,5
weakness in limbs,5
verbal auditory hallucinations,5
blister,5
 lack of concentration,5
orthostasis,5
clonus,5
 irritation in anus,5
ecchymosis,5
pain in anal region,5
 spotting  urination,5
yellow sputum,5
irritation in anus,5
labored breathing,5
yellow crust ooze,5
 blister,5
splenomegaly,5
scar tissue,5
 pain in anal region,5
 weakness in limbs,5
metastatic lesion,5
spotting  urination,5
lack of concentration,5
haemoptysis,5
 red sore around nose,5
snuffle,5
vertigo,5
lightheadedness,5
extreme exhaustion,5
unsteady gait,5
 pain during bowel movements,5
drowsiness,4
nervousness,4
food intolerance,4
cachexia,4
hypothermia,4
energy increased,4
asterixis,4
neck stiffness,4
spontaneous rupture of membranes,4
sensory discomfort,4
heartburn,4
painful swallowing,4
gravida 0,4
motor retardation,4
egophony,4
left atrial hypertrophy,4
sunken eyes,4
nodal skin eruptions,4
withdraw,4
shivering,4
patches in throat,4
general discomfort,4
muscle wasting,4
enuresis,4
aura,4
pressure chest,4
stiffness,4
paresthesia,4
has religious belief,4
urgency of micturition,4
pus filled pimples,4
 weakness of one body side,4
speech slurred,4
lung nodule,4
nausea and vomiting,4
 blackheads,4
 foul smell of urine,4
watering from eyes,4
natural,4
 bladder discomfort,4
 pus filled pimples,4
polydypsia,4
 sunken eyes,4
 patches in throat,4
 muscle wasting,4
 shivering,4
dysuria,4
dischromic  patches,4
 dehydration,4
extra marital contacts,4
continuous feel of urine,4
dehydration,4
bladder discomfort,4
 nodal skin eruptions,4
bedridden,4
hypoxemia,4
weakness of one body side,4
 continuous feel of urine,4
foul smell of urine,4
 dischromic  patches,4
 watering from eyes,4
 extra marital contacts,4
blackheads,4
fremitus,4
scurring,4
 scurring,4
 altered sensorium,4
altered sensorium,4
arthralgia,3
Stahli's line,3
difficulty passing urine,3
indifferent mood,3
urinary hesitation,3
hoarseness,3
qt interval prolonged,3
paresis,3
terrify,3
ataxia,3
unhappy,3
debilitation,3
stool color yellow,3
stupor,3
tired,3
spasm,3
breech presentation,3
systolic murmur,3
hypercapnia,3
cardiomegaly,3
room spinning,3
t wave inverted,3
wheelchair bound,3
monoclonal,3
verbally abusive behavior,3
frail,3
projectile vomiting,3
polymyalgia,3
urge incontinence,3
achalasia,3
presence of q wave,3
hematocrit decreased,3
scratch marks,3
moan,3
hepatosplenomegaly,3
heme positive,3
paraparesis,3
pain  chest,3
formication,3
green sputum,3
decompensation,3
burning sensation,3
cyanosis,3
colic abdominal,3
snore,3
tenesmus,3
cardiovascular event,3
fatigability,3
emphysematous change,3
flatulence,3
non-productive  cough,3
loose associations,3
satiety early,3
photophobia,3
sweating  increased,3
symptom aggravating factors,3
neologism,3
disturbed family,2
cystic lesion,2
poor dentition,2
ambidexterity,2
groggy,2
moody,2
cicatrisation,2
hemianopsia homonymous,2
side pain,2
numbness of hand,2
hepatomegaly,2
angina  pectoris,2
hypokalemia,2
atypia,2
estrogen use,2
stuffy nose,2
vision blurred,2
distress  respiratory,2
hyperacusis,2
extrapyramidal sign,2
hacking cough,2
out of breath,2
pulsus paradoxus,2
pallor,2
systolic ejection murmur,2
impaired cognition,2
clammy skin,2
general unsteadiness,2
mediastinal shift,2
hot flush,2
mass in breast,2
behavior hyperactive,2
uncoordination,2
posturing,2
pustule,2
unsteady  gait,2
productive  cough,2
pressure  chest,2
pain back,2
hypoalbuminemia,2
hunger,2
dullness,2
flushing,2
hypotonic,2
hydropneumothorax,2
slowing of urinary stream,2
heavy legs,2
feeling strange,2
ache,2
sputum purulent,2
myoclonus,2
hypersomnia,2
st segment depression,2
distended  abdomen,2
lip smacking,2
decreased stool caliber,2
giddy mood,2
para 1,2
awakening early,2
chest  tightness,2
nonsmoker,2
renal angle tenderness,2
pleuritic  pain,2
absences finding,2
aphagia,2
hypocalcemia result,2
numbness  of hand,2
hirsutism,2
superimposition,2
scleral icterus,2
stridor,2
asymptomatic,2
paralyse,2
bleeding of vagina,2
prodrome,1
hypertonicity,1
mental  status changes,1
hallucinations  visual,1
rapid shallow breathing,1
out  of breath,1
hallucinations  auditory,1
pain foot,1
no status change,1
decreased  translucency,1
alcoholic withdrawal symptoms,1
abnormally  hard consistency,1
alcohol binge episode,1
large-for-dates fetus,1
air fluid level,1
retch,1
underweight,1
pneumatouria,1
dyspareunia,1
general  discomfort,1
primigravida,1
regurgitates after swallowing,1
nasal discharge present,1
breakthrough pain,1
immobile,1
fecaluria,1
facial  paresis,1
noisy respiration,1
feeling  hopeless,1
bruit,1
mydriasis,1
gasping for breath,1
nasal flaring,1
unable  to concentrate,1
verbal  auditory hallucinations,1
prostate tender,1
urge  incontinence,1
pulse absent,1
panic,1
jugular  venous distention,1
speech  slurred,1
sneeze,1
abdominal bloating,1
history  of - blackout,1
adverse effect,1
hyperemesis,1
hyperventilation,1
stinging sensation,1
feels hot/feverish,1
rambling speech,1
feces in rectum,1
energy  increased,1
abortion,1
choke,1
hyperhidrosis disorder,1
night  sweat,1
abnormally hard consistency,1
floppy,1
feeling  suicidal,1
green  sputum,1
mood  depressed,1
clumsiness,1
barking cough,1
welt,1
proteinemia,1
posterior rhinorrhea,1
rhd positive,1
transsexual,1
soft tissue swelling,1
inappropriate affect,1
yellow  sputum,1
throbbing sensation quality,1
low back pain,1
hypometabolism,1
rest pain,1
dysesthesia,1
hypersomnolence,1
titubation,1
irritable  mood,1
symptom  aggravating factors,1
unwell,1
blanch,1
hypesthesia,1
phonophobia,1
milky,1
bradykinesia,1
hematochezia,1
fear of falling,1
frothy sputum,1
unconscious  state,1
macerated skin,1
sniffle,1
dyspnea  on exertion,1
st segment elevation,1
rolling of eyes,1
previous pregnancies 2,1
pin-point pupils,1
macule,1
unable to concentrate,1
claudication,1
motor  retardation,1
anosmia,1
tinnitus,1
heavy feeling,1
pansystolic murmur,1
focal seizures,1
rigor - temperature-associated observation,1
urinoma,1
food  intolerance,1
Heberden's node,1
todd paralysis,1
poor feeding,1
sciatica,1
passed stones,1
homicidal thoughts,1
coordination abnormal,1
pain neck,1
overweight,1
abnormal sensation,1
intermenstrual heavy bleeding,1
dysdiadochokinesia,1
tremor resting,1
shooting pain,1
flare,1
gag,1
incoherent,1
behavior showing increased motor activity,1
disequilibrium,1
red blotches,1
retropulsion,1
excruciating pain,1
para 2,1
drool,1
no known drug allergies,1
breath  sounds decreased,1
pericardial friction rub,1
hoard,1
monocytosis,1
r wave feature,1
tonic seizures,1
photopsia,1
pain in lower limb,1
burning  sensation,1
dizzy spells,1
elation,1
charleyhorse,1
gravida 10,1
breath-holding spell,1
bowel sounds decreased,1
sedentary,1
hypoproteinemia,1
abdomen acute,1
catching breath,1
Murphy's sign,1
exhaustion,1
